,P1 (kW),P2 (kW),P3 (kW)
0,0.0,0.0,0.0
0,3.304,0.271,1.381
0,3.306,0.27,1.383
0,3.307,0.27,1.3840000000000001
0,3.306,0.27,1.383
0,3.306,0.27,1.383
0,3.3,0.271,1.379
0,3.312,0.26899999999999996,1.3869999999999998
0,3.07,0.299,1.236
0,3.306,0.27,1.383
0,3.306,0.27,1.383
0,3.304,0.271,1.381
0,3.3089999999999997,0.27,1.385
0,3.306,0.27,1.383
0,3.306,0.27,1.383
0,1.1159999999999999,0.223,0.335
0,1.217,0.23800000000000002,0.371
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.968,0.132,0.35200000000000004
0,1.3519999999999999,2.9989999999999997,0.14800000000000002
0,1.349,2.995,0.149
0,1.348,2.9930000000000003,0.149
0,0.479,1.4409999999999998,1.1520000000000001
0,1.5,3.3169999999999997,1.053
0,1.131,2.786,1.163
0,1.495,3.305,1.0390000000000001
0,1.4569999999999999,3.261,1.069
0,1.4909999999999999,3.306,1.054
0,1.492,3.3080000000000003,1.056
0,1.354,3.0669999999999997,0.9540000000000001
0,0.621,1.7619999999999998,0.26
0,0.47,1.419,0.24
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,3.609,0.561,1.2429999999999999
0,3.795,0.555,1.3419999999999999
0,3.986,1.385,1.5819999999999999
0,3.909,0.546,1.409
0,2.799,0.435,0.965
0,2.998,0.426,1.073
0,2.6639999999999997,0.369,0.963
0,1.7719999999999998,0.171,0.7140000000000001
0,3.1719999999999997,3.8160000000000003,1.143
0,3.1069999999999998,3.6919999999999997,1.148
0,3.1489999999999996,3.7710000000000004,1.145
0,3.1439999999999997,3.767,1.1440000000000001
0,3.147,3.767,1.146
0,2.594,3.799,0.85
0,3.165,3.8,1.1440000000000001
0,3.136,3.783,1.1340000000000001
0,3.142,3.785,1.137
0,3.15,3.775,1.1440000000000001
0,3.1630000000000003,3.782,1.149
0,3.1639999999999997,3.7969999999999997,1.1440000000000001
0,1.7730000000000001,0.171,0.715
0,1.768,0.172,0.7120000000000001
0,1.766,0.172,0.711
0,1.7719999999999998,0.171,0.7140000000000001
0,1.7730000000000001,0.171,0.715
0,1.7730000000000001,0.171,0.715
0,1.77,0.172,0.713
0,1.272,0.187,0.45
0,1.182,0.183,0.408
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,4.008,0.624,1.38
0,3.987,0.623,1.371
0,3.9819999999999998,0.623,1.368
0,3.977,0.622,1.3659999999999999
0,1.112,0.25,0.306
0,3.9960000000000004,0.623,1.374
0,3.984,0.623,1.369
0,3.9819999999999998,0.623,1.368
0,3.8710000000000004,0.616,1.319
0,4.071000000000001,0.627,1.4080000000000001
0,4.081,0.628,1.413
0,4.071000000000001,0.627,1.4080000000000001
0,5.25,2.855,1.3519999999999999
0,1.4509999999999998,1.265,0.462
0,6.457000000000001,4.183,0.815
0,8.765,9.296,1.3559999999999999
0,6.169,10.001,6.482
0,8.767000000000001,9.293,6.045
0,8.802,10.455,9.156
0,9.003,10.722999999999999,9.357000000000001
0,8.988999999999999,10.501,8.847000000000001
0,9.224,10.12,8.459
0,9.048,9.67,7.434
0,4.428,8.713,6.901
0,8.492,10.749,9.305
0,7.813,9.88,7.664
0,7.513,9.754,6.287000000000001
0,7.975,9.686,6.763
0,8.362,11.337,10.534
0,6.961,9.927,8.787
0,4.287,9.286,7.334
0,5.977,9.096,8.932
0,5.604,8.769,9.054
0,3.7560000000000002,7.86,6.728
0,3.4619999999999997,8.605,7.737
0,2.865,8.599,7.5760000000000005
0,1.8219999999999998,7.376,5.791
0,0.971,6.794,7.111000000000001
0,2.165,8.165,5.737
0,1.7269999999999999,9.01,6.814
0,1.621,8.871,6.7
0,1.7630000000000001,9.008,6.6770000000000005
0,1.6980000000000002,9.097999999999999,6.752000000000001
0,1.6280000000000001,9.148,6.768
0,1.768,9.004,6.67
0,0.179,6.417999999999999,6.971
0,2.013,8.869,6.8839999999999995
0,1.588,6.732,6.622000000000001
0,1.746,9.344,7.777
0,1.8259999999999998,9.26,7.774
0,1.8130000000000002,9.363,7.761
0,1.94,9.222999999999999,7.88
0,1.83,8.934,7.505
0,0.311,6.005,7.284
0,0.408,6.066,7.5520000000000005
0,0.466,6.011,7.547000000000001
0,0.483,5.983,7.529
0,1.464,6.18,7.926
0,0.95,5.523,7.8260000000000005
0,0.85,4.838,6.5
0,2.127,5.667999999999999,7.821000000000001
0,0.9940000000000001,5.61,7.521
0,1.136,4.218999999999999,5.7589999999999995
0,6.86,6.016,7.987
0,9.275,6.547999999999999,8.07
0,8.624,6.157,7.32
0,7.403,4.33,7.0729999999999995
0,3.906,2.9219999999999997,4.425
0,8.337,5.479,5.808
0,8.357000000000001,5.138,5.184
0,6.771,2.762,3.85
0,4.934,3.633,1.409
0,4.188,3.134,1.3559999999999999
0,3.3360000000000003,3.273,0.982
0,1.992,0.29100000000000004,0.8290000000000001
0,1.9969999999999999,0.29100000000000004,0.83
0,1.982,0.29100000000000004,0.8240000000000001
0,3.167,3.085,1.304
0,3.156,3.0669999999999997,1.304
0,3.135,3.0469999999999997,1.3
0,3.082,2.969,1.193
0,3.111,3.012,1.195
0,3.117,3.029,1.1909999999999998
0,3.1210000000000004,3.0389999999999997,1.19
0,3.125,3.043,1.1909999999999998
0,3.1289999999999996,3.0380000000000003,1.195
0,1.5730000000000002,1.11,0.64
0,1.571,1.0979999999999999,0.639
0,2.991,3.0639999999999996,1.101
0,2.677,3.141,0.895
0,1.96,0.263,0.7170000000000001
0,1.8980000000000001,0.263,0.6859999999999999
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.831,0.262,0.654
0,2.202,1.0959999999999999,0.894
0,2.2640000000000002,1.3559999999999999,0.953
0,4.458,6.807,1.5659999999999998
0,5.062,7.716,1.492
0,5.273,7.95,2.426
0,4.984,11.454,9.213
0,4.945,11.828,9.671
0,5.2860000000000005,12.952,12.616
0,5.271,13.214,12.795
0,4.665,11.505,12.293
0,4.609,9.346,8.994
0,4.499,10.89,11.67
0,3.8289999999999997,9.734,8.929
0,3.2539999999999996,9.832,8.463
0,3.193,9.482000000000001,7.917000000000001
0,3.235,9.467,7.934
0,3.116,9.394,7.881
0,2.324,9.002,8.229
0,2.6010000000000004,9.668,8.543
0,2.951,9.53,8.264
0,2.952,9.275,7.705
0,2.58,9.079,7.388999999999999
0,2.798,8.943,7.02
0,2.736,8.64,6.584
0,2.653,8.082,5.651
0,2.7739999999999996,7.86,5.222
0,2.864,7.5120000000000005,4.917
0,2.8,7.289,4.744
0,2.313,7.215,5.704
0,1.713,7.377000000000001,6.809
0,0.818,6.0489999999999995,7.068
0,0.816,6.077000000000001,7.075
0,4.217,6.537999999999999,7.591
0,4.9239999999999995,6.8020000000000005,7.818
0,3.608,6.48,7.296
0,4.853,6.38,7.9270000000000005
0,5.212999999999999,6.301,7.928
0,9.087,6.388,7.422999999999999
0,9.395,7.215,9.363999999999999
0,8.627,6.162000000000001,8.193
0,4.364,4.367,5.767
0,4.251,4.0169999999999995,5.689
0,4.243,3.8810000000000002,5.5729999999999995
0,2.759,3.968,4.699
0,2.653,3.8560000000000003,4.59
0,6.145,2.991,2.7260000000000004
0,5.388999999999999,2.745,2.3890000000000002
0,3.219,2.29,1.56
0,5.185,2.638,2.116
0,5.14,2.439,1.975
0,5.7139999999999995,4.379,2.2319999999999998
0,5.8260000000000005,4.34,2.274
0,5.78,4.17,2.252
0,5.775,4.204,2.255
0,5.756,4.146,2.248
0,5.176,2.971,1.8319999999999999
0,5.437,4.091,2.015
0,5.774,4.881,2.057
0,5.505,3.95,1.8880000000000001
0,5.7860000000000005,4.89,2.06
0,5.95,4.901,2.1180000000000003
0,5.847,4.874,2.09
0,5.7170000000000005,4.874,2.042
0,5.716,4.874,2.042
0,5.851,4.887,2.0909999999999997
0,5.843,4.882,2.088
0,5.871,4.897,2.097
0,5.8629999999999995,4.877,2.095
0,5.862,4.885,2.095
0,5.8660000000000005,4.888,2.097
0,7.046,7.4,2.194
0,6.931,7.403,2.146
0,3.447,6.44,1.036
0,3.7710000000000004,7.0760000000000005,1.034
0,6.559,7.419,1.9880000000000002
