,V1 (V),Ang1 (°),V2 (V),Ang2 (°),V3 (V),Ang3 (°)
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.061,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.056,-0.02,276.959,119.98,277.002,-120.03
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.061,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.062,-0.02,276.952,119.98,277.0,-120.04
0,277.025,-0.01,276.998,120.0,277.01,-120.01
0,277.026,-0.01,276.997,120.0,277.01,-120.01
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.01,-0.01,277.025,119.99,276.997,-120.0
0,277.01,-0.01,277.025,119.99,276.997,-120.0
0,277.059,-0.03,276.963,119.98,276.984,-120.04
0,277.062,-0.02,276.951,119.98,276.999,-120.04
0,277.062,-0.02,276.951,119.98,276.999,-120.04
0,277.047,-0.03,276.948,119.97,277.011,-120.04
0,277.047,-0.03,276.948,119.97,277.011,-120.04
0,277.01,-0.01,276.995,119.99,277.022,-120.01
0,277.062,-0.02,276.951,119.98,276.999,-120.04
0,277.045,-0.02,276.95,119.97,277.012,-120.04
0,277.046,-0.03,276.948,119.97,277.012,-120.04
0,277.046,-0.03,276.948,119.97,277.012,-120.04
0,277.062,-0.02,276.951,119.98,277.0,-120.04
0,277.034,-0.01,276.987,119.99,277.008,-120.02
0,277.016,0.0,277.009,120.0,277.012,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.032,-0.03,277.005,119.98,276.975,-120.03
0,277.044,-0.04,276.991,119.97,276.972,-120.04
0,277.044,-0.04,276.991,119.98,276.972,-120.04
0,277.044,-0.04,276.991,119.98,276.972,-120.04
0,277.031,-0.03,277.006,119.98,276.976,-120.03
0,277.019,-0.02,276.99,119.98,277.005,-120.03
0,277.035,-0.02,276.993,119.99,276.993,-120.02
0,277.038,-0.01,276.981,119.99,277.006,-120.02
0,276.962,-0.03,276.997,119.95,277.042,-120.04
0,276.98,-0.03,276.969,119.95,277.052,-120.04
0,276.978,-0.03,276.969,119.95,277.054,-120.04
0,276.98,-0.03,276.969,119.95,277.052,-120.04
0,276.978,-0.03,276.969,119.95,277.054,-120.04
0,276.978,-0.03,276.969,119.95,277.054,-120.04
0,276.977,-0.03,276.969,119.95,277.055,-120.04
0,276.977,-0.03,276.969,119.95,277.054,-120.04
0,276.978,-0.03,276.969,119.95,277.054,-120.04
0,276.977,-0.03,276.972,119.95,277.05,-120.04
0,276.979,-0.03,276.969,119.95,277.053,-120.04
0,276.978,-0.03,276.969,119.95,277.054,-120.04
0,277.03,-0.01,276.98,119.98,277.013,-120.02
0,277.038,-0.01,276.982,119.99,277.007,-120.02
0,277.038,-0.01,276.981,119.99,277.006,-120.02
0,277.038,-0.01,276.981,119.99,277.006,-120.02
0,277.038,-0.01,276.982,119.99,277.007,-120.02
0,277.026,-0.01,276.997,119.99,277.01,-120.01
0,277.038,-0.01,276.981,119.99,277.006,-120.02
0,277.038,-0.01,276.981,119.99,277.006,-120.02
0,277.028,-0.01,276.994,119.99,277.009,-120.01
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
