,P1 (kW),P2 (kW),P3 (kW)
0,0.816,0.491,0.436
0,0.056,0.112,0.056
0,0.056,0.112,0.056
0,0.056,0.112,0.056
0,0.056,0.112,0.056
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,3.028,1.504,1.523
0,4.508,4.482,2.994
0,5.92,7.239,4.342
0,6.28,7.886,4.664
0,6.206,7.759,4.6
0,7.018,8.632,6.199
0,6.597,7.805,5.824
0,7.785,9.407,7.772
0,9.45,11.197,11.141
0,9.41,11.133,11.107
0,13.006,13.044,13.323
0,14.902,14.931,16.696
0,21.422,21.483,21.743
0,20.733,19.997,18.729
0,22.373,21.812,20.687
0,21.535,22.029,20.208
0,17.543,19.856,17.335
0,20.41,22.7,19.392
0,18.714,20.374,18.77
0,19.402,21.695,19.108
0,19.332,21.767,21.082
0,19.47,20.243,20.289
0,18.005,19.517,20.66
0,16.876,19.196,21.041
0,15.522,18.408,21.135
0,15.683,18.214,20.661
0,14.604,16.418,19.846
0,11.335,12.993,15.635
0,11.392,14.507,16.48
0,10.01,13.736,15.508
0,6.604,9.669,9.835
0,5.519,8.108,8.104
0,3.687,6.155,4.449
0,4.057,6.176,5.645
0,4.477,6.997,6.058
0,3.478,5.014,5.102
0,1.98,2.017,3.632
0,3.34,2.788,2.715
0,6.228,7.248,6.705
0,7.293,8.787,5.984
0,6.454,7.144,5.167
0,5.538,5.362,4.292
0,1.884,3.0,2.27
0,2.195,3.101,3.123
0,2.471,3.392,3.672
0,2.53,3.428,3.711
0,3.036,3.611,3.942
0,5.618,4.876,5.25
0,5.591,4.86,5.228
0,6.056,4.897,6.999
0,6.011,4.571,6.957
0,5.362,3.914,5.683
0,5.197,3.73,5.31
0,5.197,3.728,5.313
0,5.202,3.733,5.323
0,6.025,4.144,5.745
0,6.026,4.145,5.746
0,5.965,4.08,5.693
0,6.004,4.103,5.725
0,6.014,4.107,5.714
0,3.572,2.898,4.472
0,3.567,2.893,4.462
0,3.526,2.806,4.427
0,3.531,2.811,4.437
0,3.521,2.801,4.416
0,1.933,1.178,1.207
0,1.849,1.135,1.162
0,0.265,0.346,0.366
0,0.18,0.237,0.305
0,0.407,0.348,0.414
0,1.676,0.959,0.986
0,3.147,3.953,2.463
0,3.169,3.959,2.419
0,4.621,5.444,5.32
0,4.626,5.449,5.331
0,3.781,5.333,6.049
0,2.845,3.493,5.096
0,0.866,0.871,1.738
0,0.878,0.856,1.682
0,3.721,2.272,3.118
0,3.742,2.283,3.128
0,2.93,1.457,1.473
0,2.909,1.447,1.462
0,2.92,1.452,1.467
0,2.92,1.452,1.467
0,2.784,1.385,1.399
0,2.324,1.157,1.167
0,3.192,1.584,1.607
0,3.234,1.605,1.628
0,3.171,1.574,1.596
0,3.192,1.584,1.607
0,2.836,1.409,1.427
0,2.889,1.435,1.453
0,2.826,1.404,1.422
0,2.868,1.424,1.443
0,2.899,1.44,1.459
0,1.166,0.581,0.585
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,3.302,1.636,1.665
0,3.281,1.626,1.654
0,3.271,1.621,1.649
