,P1 (kW),P2 (kW),P3 (kW)
0,1.642,3.265,1.623
0,1.636,3.255,1.618
0,1.636,3.255,1.618
0,1.642,3.265,1.623
0,1.636,3.255,1.618
0,1.636,3.255,1.618
0,1.631,3.244,1.613
0,1.642,3.265,1.623
0,1.446,2.878,1.432
0,1.636,3.255,1.618
0,1.636,3.255,1.618
0,1.631,3.244,1.613
0,1.636,3.255,1.618
0,1.636,3.255,1.618
0,1.636,3.255,1.618
0,0.406,0.812,0.405
0,0.427,0.853,0.426
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.405,0.407,0.812
0,0.405,0.407,0.812
0,2.075,3.723,2.451
0,1.659,3.292,1.631
0,1.659,3.292,1.631
0,2.059,3.692,2.436
0,2.059,3.692,2.436
0,0.812,1.22,1.217
0,1.649,3.271,1.621
0,2.0,3.576,2.379
0,2.048,3.671,2.425
0,2.043,3.66,2.42
0,1.643,3.26,1.616
0,0.701,1.396,0.696
0,0.099,0.198,0.099
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.696,3.376,1.68
0,2.097,4.169,2.071
0,2.081,4.138,2.056
0,2.081,4.138,2.056
0,1.654,3.292,1.638
0,1.645,3.273,1.627
0,1.187,2.365,1.178
0,0.842,1.678,0.835
0,2.492,4.952,2.459
0,2.387,4.743,2.356
0,2.434,4.837,2.403
0,2.387,4.743,2.356
0,2.434,4.837,2.403
0,2.439,4.848,2.408
0,2.461,4.89,2.429
0,2.461,4.89,2.429
0,2.429,4.827,2.398
0,2.572,5.109,2.537
0,2.429,4.827,2.398
0,2.445,4.858,2.413
0,1.067,2.125,1.058
0,0.832,1.657,0.825
0,0.837,1.667,0.83
0,0.837,1.667,0.83
0,0.832,1.657,0.825
0,0.433,0.864,0.431
0,0.842,1.678,0.835
0,0.837,1.667,0.83
0,0.506,1.01,0.504
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,3.193,1.587,1.606
0,3.194,1.587,1.606
0,0.937,0.468,0.469
0,3.173,1.576,1.596
0,3.194,1.587,1.606
0,3.194,1.587,1.606
0,3.078,1.53,1.548
0,3.183,1.581,1.601
0,3.173,1.576,1.596
0,3.277,1.628,1.649
0,3.267,1.623,1.644
0,3.267,1.623,1.644
0,4.904,3.288,4.956
0,4.904,3.288,4.956
0,5.246,4.953,7.761
0,15.175,10.756,15.51
0,20.237,19.476,21.559
0,20.047,19.309,21.324
0,19.116,19.522,21.137
0,23.486,21.845,24.087
0,24.553,23.043,26.391
0,23.662,22.655,25.907
0,23.435,22.071,25.614
0,11.635,13.686,12.595
0,22.523,19.397,22.01
0,23.005,18.821,21.277
0,22.309,18.89,20.917
0,16.848,13.698,15.977
0,25.205,20.045,22.609
0,21.316,16.902,19.702
0,19.302,16.689,19.05
0,19.004,15.621,16.837
0,19.22,16.023,16.838
0,17.28,14.825,16.174
0,15.996,14.012,15.726
0,11.915,10.947,11.415
0,15.678,14.634,15.804
0,17.785,16.076,17.559
0,9.633,10.679,12.587
0,19.669,16.84,18.485
0,17.705,15.993,17.44
0,19.351,16.736,18.239
0,18.919,16.26,17.355
0,19.377,16.772,18.334
0,19.4,16.785,18.351
0,16.227,12.856,14.751
0,15.907,14.172,13.983
0,13.964,10.458,9.981
0,20.642,16.081,15.761
0,17.598,14.772,14.388
0,21.112,16.486,16.638
0,18.712,14.149,13.143
0,21.212,16.53,16.687
0,19.285,14.699,13.257
0,18.399,14.387,12.825
0,15.432,10.585,10.583
0,12.45,11.353,9.194
0,17.996,14.693,12.406
0,13.048,9.703,9.21
0,13.098,10.722,9.299
0,11.204,10.809,8.598
0,8.23,8.601,6.286
0,7.521,9.045,6.717
0,11.823,12.415,9.269
0,9.184,10.289,8.768
0,11.499,11.143,9.88
0,9.904,8.222,8.133
0,5.198,3.871,4.827
0,7.898,4.958,5.503
0,8.462,7.08,6.358
0,7.717,6.713,5.984
0,5.981,7.092,5.477
0,5.09,4.038,4.223
0,2.074,3.02,2.855
0,1.554,2.191,2.128
0,1.341,1.567,2.134
0,1.858,2.593,2.644
0,3.475,4.268,5.914
0,2.651,2.613,5.093
0,2.604,2.565,4.999
0,2.366,2.411,4.778
0,2.418,2.464,4.883
0,2.407,2.453,4.862
0,2.423,2.47,4.893
0,2.423,2.47,4.893
0,2.418,2.464,4.883
0,2.418,2.464,4.883
0,0.898,0.905,1.803
0,2.413,2.458,4.872
0,0.846,0.852,1.698
0,0.82,0.826,1.647
0,0.826,0.831,1.657
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.167,0.333,0.166
0,1.19,1.968,1.595
0,1.658,2.868,2.085
0,2.856,4.538,4.01
0,6.951,10.647,7.369
0,8.633,10.78,8.015
0,18.473,16.922,17.229
0,15.554,14.077,15.808
0,15.559,12.674,12.703
0,13.112,11.574,11.04
0,24.81,20.45,20.547
0,22.296,18.788,20.288
0,22.921,18.429,18.403
0,20.444,15.573,14.547
0,14.741,10.513,10.795
0,18.815,12.695,13.678
0,18.726,12.597,13.479
0,16.647,11.577,12.243
0,9.557,7.526,6.44
0,16.231,11.926,11.162
0,15.031,11.398,10.04
0,14.507,10.744,9.308
0,13.072,10.18,8.251
0,14.41,10.805,8.948
0,12.579,9.95,8.006
0,10.437,8.8,6.79
0,9.83,8.625,6.551
0,7.561,7.48,5.24
0,7.368,7.214,4.859
0,7.804,6.674,4.847
0,7.444,5.884,4.474
0,12.349,7.239,6.697
0,12.353,7.233,6.697
0,12.442,6.077,6.365
0,12.485,6.097,6.387
0,13.927,6.782,7.144
0,13.384,8.826,7.553
0,12.603,8.454,7.15
0,9.463,4.732,4.832
0,15.547,9.882,8.651
0,13.21,8.74,7.435
0,8.081,6.615,4.931
0,6.976,5.801,4.283
0,6.689,5.685,4.146
0,6.139,4.169,4.084
0,5.55,3.039,3.691
0,4.696,2.631,3.239
0,4.092,2.332,2.933
0,4.021,2.23,2.701
0,4.038,2.303,2.901
0,3.577,1.815,1.905
0,5.169,2.588,2.674
0,5.311,2.657,2.745
0,5.3,2.652,2.74
0,5.198,2.601,2.689
0,5.219,2.612,2.699
0,5.049,2.567,2.626
0,5.059,2.603,2.725
0,5.811,3.367,4.254
0,5.811,3.367,4.254
0,5.795,3.359,4.246
0,3.847,2.399,3.263
0,5.682,3.265,4.176
0,5.598,3.229,4.149
0,5.792,3.321,4.24
0,5.781,3.316,4.235
0,5.666,3.259,4.176
0,5.233,3.027,3.9
0,5.682,3.264,4.176
0,5.781,3.316,4.235
0,5.468,2.985,3.564
0,4.594,2.578,3.127
0,4.909,5.225,4.529
0,3.401,2.51,2.734
0,4.967,5.319,4.586
0,4.935,5.298,4.575
0,3.36,2.473,2.666
0,4.903,5.198,4.518
0,6.747,6.173,5.449
0,5.796,5.742,5.007
0,5.441,5.344,4.308
0,4.51,3.234,3.762
0,5.136,5.414,4.685
0,3.426,4.307,3.105
0,2.087,3.202,1.815
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.048,0.048,0.097
0,0.046,0.046,0.092
0,0.048,0.048,0.097
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.048,0.048,0.097
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.048,0.048,0.097
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.046,0.046,0.092
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.666,0.333,0.333
0,1.175,0.796,1.214
0,0.416,0.417,0.833
0,1.597,1.617,3.214
0,1.592,1.612,3.204
0,1.633,1.654,3.288
0,1.638,1.659,3.298
0,1.638,1.659,3.298
0,1.633,1.654,3.288
0,1.633,1.654,3.288
0,1.638,1.659,3.298
0,1.633,1.654,3.288
0,1.716,1.738,3.454
0,3.321,2.924,5.381
0,4.605,2.914,4.183
0,9.462,6.992,8.333
0,11.445,10.399,10.633
0,7.582,7.302,7.733
0,16.29,13.289,13.195
0,11.636,11.053,10.848
0,17.859,14.331,16.277
0,17.451,13.919,15.394
0,17.083,13.467,14.611
0,17.609,14.421,15.08
0,16.684,15.542,14.413
0,15.758,16.176,14.39
0,19.342,18.534,16.16
0,17.397,15.035,12.95
0,15.212,14.804,12.486
0,18.138,16.048,13.878
0,19.626,15.87,15.628
0,17.886,14.977,14.649
0,16.807,14.522,14.058
0,17.233,15.178,15.499
0,12.065,11.231,9.103
0,14.883,12.488,11.709
0,16.18,14.998,12.914
0,12.916,13.522,11.214
0,11.523,12.964,10.509
0,12.797,13.474,11.139
0,11.16,12.648,10.304
0,11.3,12.943,10.438
0,11.279,12.906,10.412
0,8.822,9.322,6.559
0,7.63,9.252,6.165
0,9.245,10.076,6.944
0,9.213,9.984,6.909
0,9.255,9.206,6.191
0,10.386,9.761,7.074
0,9.289,8.144,5.885
0,9.692,7.332,8.027
0,9.082,6.21,7.383
0,8.452,5.906,7.123
0,8.936,5.903,7.306
0,8.51,5.09,6.898
0,6.854,3.405,3.541
0,6.829,3.393,3.528
0,5.785,2.883,2.994
0,5.305,2.648,2.749
0,4.181,2.096,2.177
0,3.691,1.854,1.928
0,3.663,1.841,1.918
0,4.41,2.208,2.293
0,4.561,2.283,2.37
0,4.356,2.183,2.27
0,3.645,1.831,1.905
0,3.67,1.844,1.918
0,0.315,0.18,0.226
0,0.229,0.137,0.183
0,0.231,0.14,0.188
0,0.137,0.092,0.137
0,0.137,0.092,0.137
0,0.137,0.092,0.137
0,0.178,0.132,0.219
0,0.556,0.513,0.978
0,0.137,0.092,0.137
0,0.14,0.094,0.142
0,0.137,0.092,0.137
0,0.137,0.092,0.137
0,0.137,0.092,0.137
0,0.092,0.046,0.046
0,0.092,0.046,0.046
0,0.092,0.046,0.046
0,0.092,0.046,0.046
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.822,0.41,0.412
0,2.993,1.486,1.506
0,2.983,1.481,1.501
0,3.098,1.538,1.559
0,2.993,1.486,1.506
0,3.098,1.538,1.559
0,3.108,1.543,1.565
0,0.812,0.405,0.407
0,3.192,1.584,1.607
0,4.942,4.896,3.283
0,2.47,3.698,2.045
0,4.565,4.156,2.916
0,3.685,2.576,2.101
0,3.192,1.584,1.607
0,3.192,1.584,1.607
0,3.286,1.631,1.655
0,3.181,1.579,1.602
0,3.181,1.579,1.602
0,3.192,1.584,1.607
0,3.181,1.579,1.602
0,3.077,1.527,1.549
0,3.087,1.533,1.554
0,3.108,1.543,1.565
0,3.286,1.631,1.655
0,3.192,1.584,1.607
0,3.276,1.625,1.65
0,3.014,1.497,1.517
0,3.286,1.631,1.655
0,3.286,1.631,1.655
0,0.812,0.405,0.407
0,3.286,1.631,1.655
0,3.276,1.625,1.65
0,3.276,1.625,1.65
0,3.276,1.625,1.65
0,3.276,1.625,1.65
0,3.276,1.625,1.65
0,2.397,1.192,1.205
0,1.364,0.68,0.684
0,0.906,0.452,0.454
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.608,3.2,1.592
0,2.366,4.702,2.336
0,2.387,4.744,2.357
0,2.377,4.723,2.346
0,2.371,4.713,2.341
0,1.828,3.637,1.809
0,1.517,3.021,1.504
0,1.323,2.636,1.312
0,1.213,2.417,1.204
0,1.185,2.363,1.178
0,0.385,0.77,0.385
0,0.391,0.78,0.39
0,0.026,0.052,0.026
0,0.078,0.156,0.078
0,1.725,1.023,0.92
0,2.464,2.489,1.652
0,2.857,2.475,2.88
0,2.447,2.902,2.863
0,4.918,6.583,4.889
0,4.924,6.572,4.894
0,4.291,5.345,4.281
0,4.856,4.942,3.261
0,3.65,3.628,3.526
0,2.611,1.854,2.518
0,2.655,2.382,2.782
0,2.33,1.578,2.41
0,2.366,1.599,2.436
0,2.371,1.605,2.447
0,3.989,4.818,4.03
0,4.773,6.36,4.788
0,4.831,6.455,4.845
0,2.76,3.531,3.201
0,3.54,3.955,3.606
0,3.028,3.009,3.12
0,1.609,1.625,1.662
0,2.661,2.677,2.356
0,3.133,3.124,3.193
0,2.304,1.631,2.425
0,1.934,1.423,2.23
0,0.857,0.888,1.693
0,0.852,0.883,1.683
0,0.852,0.883,1.683
0,0.857,0.888,1.693
0,0.857,0.888,1.693
0,0.82,0.826,1.646
0,0.826,0.831,1.657
0,0.826,0.831,1.657
0,0.826,0.831,1.657
0,0.82,0.826,1.646
0,0.488,0.49,0.979
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.125,0.062,0.062
0,1.624,0.81,0.814
0,1.624,0.81,0.814
0,3.153,3.808,2.313
0,3.132,3.798,2.303
0,1.868,3.157,1.666
0,0.395,0.198,0.198
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.648,3.282,1.633
0,1.659,3.303,1.643
0,1.659,3.303,1.643
0,1.659,3.303,1.643
0,1.664,3.313,1.649
0,1.659,3.303,1.643
0,1.664,3.313,1.649
0,1.271,2.531,1.26
0,1.664,3.313,1.649
0,1.664,3.313,1.649
0,1.659,3.303,1.643
0,0.816,1.626,0.809
0,0.832,1.657,0.825
0,0.832,1.657,0.825
0,0.837,1.667,0.83
0,0.837,1.667,0.83
0,0.832,1.657,0.825
0,0.837,1.667,0.83
0,0.837,1.667,0.83
0,0.443,0.885,0.441
0,0.832,1.657,0.825
0,0.433,0.864,0.431
0,0.837,1.667,0.83
0,0.837,1.667,0.83
0,0.826,1.646,0.82
0,0.826,1.646,0.82
0,0.826,1.646,0.82
0,0.837,1.667,0.83
0,0.433,0.864,0.431
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.402,0.802,0.4
0,0.391,0.781,0.39
0,0.391,0.781,0.39
0,0.402,0.802,0.4
0,0.026,0.052,0.026
0,0.026,0.052,0.026
0,1.687,3.357,1.67
0,0.845,1.687,0.841
0,2.444,3.677,2.03
0,3.265,4.074,2.438
0,3.238,4.021,2.413
0,3.249,4.058,2.428
0,2.08,1.745,1.278
0,3.259,4.079,2.438
0,3.238,4.053,2.423
0,1.645,3.274,1.628
0,1.645,3.274,1.628
0,1.64,3.263,1.623
0,0.396,0.791,0.395
0,1.598,3.168,1.57
0,3.274,6.485,3.211
0,3.252,6.444,3.19
0,1.603,3.179,1.575
0,5.543,7.883,8.838
0,5.623,8.056,8.899
0,5.733,8.282,9.0
0,5.122,7.053,8.424
0,6.33,9.454,9.575
0,4.681,7.742,6.241
0,4.664,7.705,6.231
0,3.707,5.807,5.303
0,3.67,5.784,5.233
