,P1 (kW),P2 (kW),P3 (kW)
0,3.265,1.623,1.642
0,3.255,1.618,1.636
0,3.255,1.618,1.636
0,3.265,1.623,1.642
0,3.255,1.618,1.636
0,3.255,1.618,1.636
0,3.244,1.613,1.631
0,3.265,1.623,1.642
0,2.878,1.432,1.446
0,3.255,1.618,1.636
0,3.255,1.618,1.636
0,3.244,1.613,1.631
0,3.255,1.618,1.636
0,3.255,1.618,1.636
0,3.255,1.618,1.636
0,0.812,0.405,0.406
0,0.853,0.426,0.427
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.812,0.405,0.407
0,0.812,0.405,0.407
0,2.486,3.715,2.049
0,1.659,3.292,1.631
0,1.659,3.292,1.631
0,2.059,3.692,2.436
0,2.059,3.692,2.436
0,0.812,1.22,1.217
0,1.649,3.271,1.621
0,2.0,3.576,2.379
0,2.048,3.671,2.425
0,2.043,3.66,2.42
0,1.643,3.26,1.616
0,0.701,1.396,0.696
0,0.099,0.198,0.099
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,3.376,1.68,1.696
0,4.169,2.071,2.097
0,4.138,2.056,2.081
0,4.138,2.056,2.081
0,3.292,1.638,1.654
0,2.853,2.05,1.639
0,2.365,1.178,1.187
0,1.678,0.835,0.842
0,2.923,4.514,2.464
0,3.217,3.901,2.367
0,3.265,3.995,2.414
0,3.212,3.907,2.367
0,3.265,3.995,2.414
0,3.27,4.006,2.419
0,3.286,4.053,2.439
0,3.291,4.047,2.439
0,3.249,3.995,2.408
0,3.4,4.152,2.663
0,3.26,3.985,2.408
0,3.27,4.021,2.424
0,1.902,1.282,1.066
0,1.657,0.825,0.832
0,1.667,0.83,0.837
0,1.667,0.83,0.837
0,1.657,0.825,0.832
0,0.864,0.431,0.433
0,1.678,0.835,0.842
0,1.667,0.83,0.837
0,1.01,0.504,0.506
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
