,P1 (kW),P2 (kW),P3 (kW)
0,0.0,0.0,0.0
0,1.113,4.377,1.076
0,1.114,4.382,1.077
0,1.115,4.385,1.078
0,1.114,4.382,1.077
0,1.114,4.382,1.077
0,1.11,4.367,1.074
0,1.117,4.396,1.08
0,0.982,3.871,0.953
0,1.114,4.381,1.077
0,1.114,4.382,1.077
0,1.113,4.377,1.076
0,1.116,4.389,1.079
0,1.114,4.382,1.077
0,1.114,4.382,1.077
0,0.272,1.085,0.27
0,0.3,1.193,0.297
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.271,0.273,1.087
0,1.144,4.482,1.097
0,1.14,4.468,1.094
0,1.139,4.464,1.093
0,0.544,1.36,1.359
0,1.407,4.724,2.18
0,1.056,3.362,1.859
0,1.398,4.704,2.152
0,1.362,4.551,2.138
0,1.398,4.691,2.169
0,1.4,4.696,2.173
0,1.213,4.13,1.831
0,0.487,1.932,0.479
0,0.371,1.475,0.366
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.982,3.879,0.957
0,1.063,4.193,1.033
0,1.349,5.297,1.3
0,1.12,4.415,1.087
0,0.771,3.053,0.755
0,0.862,3.408,0.842
0,0.781,3.09,0.764
0,0.564,2.236,0.553
0,1.682,6.581,1.609
0,1.627,6.373,1.559
0,1.662,6.507,1.591
0,1.659,6.494,1.588
0,1.66,6.5,1.59
0,1.425,5.596,1.373
0,1.675,6.556,1.603
0,1.657,6.486,1.586
0,1.66,6.5,1.59
0,1.663,6.511,1.592
0,1.671,6.542,1.6
0,1.674,6.553,1.602
0,0.565,2.239,0.554
0,0.562,2.228,0.551
0,0.562,2.225,0.551
0,0.564,2.236,0.553
0,0.565,2.239,0.554
0,0.565,2.239,0.554
0,0.564,2.232,0.553
0,0.35,1.393,0.346
0,0.319,1.268,0.315
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,4.319,1.062,1.098
0,4.291,1.055,1.091
0,4.284,1.053,1.089
0,4.277,1.051,1.087
0,1.086,0.27,0.273
0,4.302,1.058,1.093
0,4.286,1.054,1.089
0,4.284,1.053,1.089
0,4.134,1.017,1.05
0,4.405,1.082,1.12
0,4.419,1.086,1.124
0,4.405,1.082,1.12
0,5.509,2.219,5.576
0,1.347,0.541,1.355
0,7.791,7.912,11.179
0,16.334,6.946,13.797
0,12.621,16.865,20.669
0,15.383,17.108,19.459
0,15.545,18.637,21.828
0,23.726,20.085,21.995
0,20.19,20.279,25.18
0,18.562,18.907,20.726
0,17.284,16.142,19.118
0,10.159,12.795,15.054
0,19.792,16.868,21.713
0,18.462,15.555,16.816
0,17.308,12.347,15.892
0,17.87,12.482,16.702
0,23.767,16.871,20.807
0,18.736,13.18,16.219
0,12.704,12.001,15.703
0,16.512,13.108,14.05
0,16.66,12.67,14.753
0,8.776,10.128,10.447
0,12.505,11.684,13.732
0,12.09,11.544,13.466
0,6.233,9.669,11.339
0,11.393,10.774,12.471
0,7.503,12.159,12.726
0,16.313,14.231,14.765
0,15.78,14.131,14.752
0,16.057,14.203,14.818
0,16.367,14.531,16.115
0,16.66,14.84,17.278
0,16.015,14.17,14.818
0,14.65,12.129,11.122
0,13.582,12.908,11.11
0,8.306,9.57,8.078
0,17.794,13.867,12.084
0,16.643,13.587,11.711
0,17.485,13.666,12.004
0,15.308,13.143,11.267
0,15.377,12.901,10.958
0,15.609,12.804,9.519
0,16.393,12.501,7.419
0,15.625,12.303,7.165
0,15.362,12.244,7.064
0,16.922,13.186,9.606
0,15.181,9.505,7.34
0,10.282,7.355,4.217
0,11.234,11.463,7.298
0,11.105,10.35,4.867
0,5.622,8.175,3.236
0,11.902,13.516,5.494
0,12.558,15.16,7.88
0,11.521,10.843,6.864
0,10.166,5.488,5.557
0,5.675,2.881,3.951
0,10.536,7.214,5.781
0,9.519,6.922,5.322
0,6.928,3.024,3.523
0,3.364,5.431,3.739
0,2.641,4.246,3.356
0,1.794,5.031,3.343
0,0.661,0.59,2.257
0,0.662,0.591,2.264
0,0.657,0.585,2.24
0,1.735,1.74,6.706
0,1.723,1.727,6.655
0,1.706,1.708,6.583
0,1.567,1.647,6.43
0,1.596,1.679,6.552
0,1.605,1.689,6.589
0,1.61,1.695,6.61
0,1.614,1.699,6.625
0,1.615,1.7,6.628
0,0.561,0.571,2.263
0,0.558,0.568,2.252
0,1.551,1.629,6.361
0,1.434,1.501,5.869
0,0.55,0.56,2.22
0,0.527,0.536,2.125
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.513,2.031,0.503
0,0.811,2.392,1.625
0,0.872,2.446,1.88
0,2.667,8.121,4.962
0,3.599,11.567,5.793
0,3.745,11.684,6.423
0,15.408,15.735,16.043
0,17.184,16.072,16.882
0,22.478,17.305,18.147
0,23.649,18.862,22.968
0,21.899,17.942,20.801
0,13.025,13.508,11.507
0,21.603,16.825,16.273
0,17.282,13.231,10.211
0,18.698,14.145,14.289
0,17.352,13.275,11.67
0,17.412,13.263,11.922
0,17.263,13.113,11.629
0,16.602,12.429,8.688
0,20.841,14.916,10.254
0,19.32,14.637,10.461
0,18.817,14.187,9.124
0,18.791,14.259,7.579
0,17.787,14.146,8.061
0,15.966,13.572,7.338
0,12.891,12.703,6.109
0,11.685,12.453,6.075
0,9.389,11.786,5.25
0,8.576,11.294,4.419
0,9.889,9.921,4.323
0,12.868,9.622,4.802
0,12.431,7.763,4.216
0,12.527,7.733,4.298
0,17.519,6.716,5.331
0,18.696,6.924,5.72
0,15.288,6.11,4.83
0,16.022,10.239,5.84
0,15.734,10.134,5.817
0,15.516,6.619,5.508
0,20.661,11.118,7.347
0,17.027,10.171,6.085
0,9.683,8.549,3.907
0,9.413,8.332,3.591
0,9.112,8.194,3.499
0,8.177,3.888,2.481
0,7.972,3.773,2.415
0,6.403,3.342,1.98
0,5.581,3.077,1.755
0,3.359,2.469,1.171
0,5.277,2.871,1.651
0,5.072,2.755,1.585
0,7.106,3.178,2.102
0,7.226,3.141,2.121
0,7.088,3.042,2.072
0,7.177,2.998,2.083
0,7.169,2.93,2.068
0,6.596,1.728,1.711
0,6.828,1.953,2.839
0,7.079,2.217,3.887
0,6.016,1.963,3.61
0,7.09,2.222,3.903
0,7.236,2.259,3.95
0,7.19,2.179,3.909
0,7.073,2.153,3.886
0,7.073,2.153,3.886
0,7.202,2.184,3.919
0,7.19,2.181,3.916
0,7.22,2.191,3.937
0,7.202,2.184,3.919
0,7.209,2.186,3.921
0,7.216,2.187,3.923
0,8.267,6.404,4.985
0,8.141,6.39,4.967
0,3.84,5.188,3.817
0,4.813,5.634,4.044
0,7.779,6.368,4.884
0,8.299,6.495,5.009
0,4.809,5.596,4.086
0,2.996,2.047,3.02
0,6.061,5.963,4.435
0,5.817,5.726,3.504
0,6.045,5.968,4.414
0,4.775,5.617,3.832
0,3.068,4.965,2.399
0,0.803,2.515,0.657
0,1.049,0.261,0.263
0,1.041,0.259,0.261
0,1.033,0.257,0.259
0,1.024,0.255,0.257
0,1.016,0.253,0.255
0,1.008,0.251,0.253
0,1.0,0.249,0.251
0,0.992,0.247,0.249
0,0.983,0.245,0.247
0,0.975,0.243,0.245
0,0.967,0.241,0.243
0,0.959,0.239,0.241
0,0.951,0.237,0.238
0,0.942,0.235,0.236
0,0.934,0.233,0.234
0,0.926,0.231,0.232
0,0.918,0.229,0.23
0,0.91,0.227,0.228
0,0.901,0.225,0.226
0,0.893,0.223,0.224
0,0.885,0.221,0.222
0,0.877,0.219,0.22
0,0.869,0.216,0.218
0,0.86,0.214,0.216
0,0.852,0.212,0.214
0,0.844,0.21,0.212
0,0.836,0.208,0.21
0,0.828,0.206,0.208
0,0.819,0.204,0.205
0,0.811,0.202,0.203
0,0.803,0.2,0.201
0,0.795,0.198,0.199
0,0.787,0.196,0.197
0,0.778,0.194,0.195
0,0.77,0.192,0.193
0,0.762,0.19,0.191
0,0.754,0.188,0.189
0,0.746,0.186,0.187
0,0.738,0.184,0.185
0,0.729,0.182,0.183
0,0.721,0.18,0.181
0,0.713,0.178,0.179
0,0.705,0.176,0.177
0,0.697,0.174,0.175
0,0.688,0.172,0.173
0,0.68,0.17,0.17
0,0.672,0.168,0.168
0,1.001,0.249,0.251
0,1.107,1.146,4.505
0,0.277,0.28,1.114
0,1.057,1.093,4.302
0,1.055,1.091,4.291
0,1.084,1.122,4.412
0,1.089,1.127,4.434
0,0.274,0.276,1.1
0,1.058,1.094,4.305
0,1.089,1.127,4.434
0,1.09,1.128,4.437
0,1.072,1.109,4.362
0,1.624,1.701,6.649
0,3.492,2.17,7.138
0,6.234,2.812,7.721
0,12.309,10.171,10.553
0,12.278,10.15,10.555
0,7.43,6.682,6.135
0,11.407,10.111,6.365
0,17.771,12.467,12.084
0,19.888,12.942,16.076
0,19.924,13.185,15.335
0,19.615,13.222,14.444
0,20.245,14.911,14.904
0,18.896,19.26,15.366
0,13.971,15.834,11.074
0,18.365,15.746,12.442
0,20.508,16.865,13.457
0,15.146,16.014,11.503
0,20.48,17.959,12.586
0,22.637,15.553,15.441
0,19.789,14.798,11.758
0,18.461,14.19,10.812
0,18.031,14.13,13.146
0,11.376,10.799,5.539
0,17.337,13.322,11.267
0,12.987,14.445,8.044
0,12.488,14.45,5.628
0,10.506,13.864,7.12
0,12.905,14.793,7.766
0,9.928,13.242,4.667
0,9.509,13.534,6.877
0,10.112,13.628,5.197
0,9.662,11.719,4.825
0,7.458,11.701,3.822
0,10.068,12.536,5.681
0,9.907,12.534,4.782
0,11.784,12.277,5.259
0,6.773,7.889,3.538
0,6.473,8.099,3.176
0,6.761,5.732,6.866
0,11.188,6.036,8.204
0,5.969,4.364,6.258
0,11.143,5.767,8.38
0,6.257,3.424,6.673
0,6.06,3.164,6.025
0,5.826,2.855,5.178
0,4.343,2.6,4.218
0,3.415,2.096,3.353
0,1.892,1.603,3.096
0,0.965,1.037,1.937
0,0.634,0.623,0.93
0,1.832,1.495,1.502
0,1.782,1.312,1.486
0,1.729,1.129,1.468
0,0.687,0.687,1.132
0,0.576,0.435,0.827
0,0.469,0.199,0.528
0,0.244,0.061,0.061
0,0.244,0.061,0.061
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.122,0.03,0.031
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,4.203,1.033,1.068
0,4.046,0.995,1.028
0,4.046,0.995,1.028
0,4.046,0.995,1.028
0,4.032,0.992,1.024
0,4.181,1.028,1.063
0,2.82,0.697,0.713
0,4.174,1.026,1.061
0,4.292,1.055,1.091
0,5.454,5.359,2.166
0,5.546,5.51,2.214
0,5.024,3.934,1.805
0,4.597,2.28,1.396
0,4.295,1.056,1.092
0,1.086,0.27,0.273
0,4.288,1.054,1.09
0,4.296,1.056,1.092
0,4.303,1.057,1.094
0,4.288,1.054,1.09
0,4.288,1.054,1.09
0,4.16,1.023,1.057
0,4.153,1.021,1.055
0,1.849,0.459,0.466
0,4.16,1.023,1.057
0,4.292,1.055,1.091
0,4.417,1.085,1.124
0,3.11,0.768,0.787
0,4.431,1.088,1.127
0,4.428,1.087,1.126
0,4.431,1.088,1.127
0,1.086,0.27,0.273
0,4.424,1.087,1.125
0,4.417,1.085,1.124
0,4.417,1.085,1.124
0,4.417,1.085,1.124
0,4.417,1.085,1.124
0,2.947,0.728,0.745
0,1.701,0.422,0.428
0,1.575,0.391,0.396
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.176,4.631,1.139
0,1.61,6.306,1.543
0,1.625,6.363,1.557
0,1.624,6.362,1.556
0,1.617,6.334,1.55
0,1.202,4.732,1.164
0,1.011,3.988,0.983
0,0.886,3.501,0.864
0,0.82,3.242,0.801
0,0.719,2.852,0.707
0,0.26,1.038,0.258
0,0.262,1.042,0.26
0,0.203,0.81,0.202
0,0.087,0.349,0.087
0,2.258,0.881,0.634
0,0.57,2.26,0.56
0,0.648,2.345,0.862
0,1.117,2.808,2.749
0,2.274,7.248,3.838
0,2.27,7.234,3.834
0,1.821,5.532,3.421
0,3.319,5.501,1.751
0,3.189,3.384,3.304
0,2.577,1.803,2.866
0,2.734,2.38,3.003
0,2.643,1.166,2.763
0,2.635,1.178,2.777
0,2.648,1.189,2.769
0,3.742,5.51,3.856
0,4.333,7.721,4.394
0,4.31,7.638,4.365
0,4.02,7.524,4.295
0,2.46,4.151,3.327
0,3.148,3.261,3.285
0,2.174,2.908,3.011
0,3.14,3.307,3.292
0,3.182,3.331,3.318
0,2.577,1.161,2.755
0,2.471,1.105,2.71
0,0.568,0.629,2.239
0,0.569,0.63,2.242
0,0.566,0.628,2.232
0,0.569,0.63,2.242
0,0.571,0.633,2.253
0,0.548,0.557,2.211
0,0.547,0.557,2.207
0,0.551,0.56,2.221
0,0.554,0.564,2.235
0,0.551,0.56,2.221
0,0.3,0.303,1.204
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.128,0.032,0.032
0,2.181,0.541,0.55
0,1.057,0.263,0.265
0,3.209,4.579,1.545
0,2.981,4.509,1.485
0,1.515,4.13,1.112
0,0.528,0.132,0.132
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.932,3.682,0.909
0,1.126,4.436,1.092
0,1.123,4.425,1.09
0,1.122,4.421,1.089
0,1.131,4.457,1.097
0,1.108,4.366,1.075
0,1.125,4.432,1.091
0,1.131,4.457,1.097
0,1.127,4.443,1.094
0,1.126,4.438,1.093
0,1.128,4.446,1.095
0,0.287,1.143,0.284
0,0.566,2.244,0.555
0,0.558,2.211,0.547
0,0.291,1.157,0.288
0,0.288,1.146,0.285
0,0.562,2.225,0.551
0,0.565,2.239,0.554
0,0.563,2.23,0.552
0,0.561,2.222,0.55
0,0.565,2.239,0.554
0,0.287,1.143,0.284
0,0.565,2.239,0.554
0,0.564,2.234,0.553
0,0.562,2.225,0.551
0,0.564,2.235,0.553
0,0.558,2.211,0.547
0,0.565,2.239,0.554
0,0.276,1.101,0.274
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.263,1.045,0.26
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.662,2.623,0.65
0,0.698,2.764,0.684
0,3.286,4.969,1.636
0,1.535,1.373,0.582
0,3.24,4.832,1.6
0,3.251,4.92,1.619
0,2.42,1.614,0.811
0,2.422,1.618,0.812
0,3.268,4.951,1.629
0,1.114,4.387,1.079
0,1.12,4.408,1.084
0,1.114,4.387,1.079
0,0.271,1.081,0.269
0,0.0,0.0,0.0
0,2.257,8.758,2.122
0,1.119,4.404,1.083
0,0.0,0.0,0.0
0,2.639,4.126,9.425
0,3.789,8.513,10.461
0,3.243,6.457,9.978
0,3.232,6.415,9.966
0,3.253,6.493,9.989
0,3.247,9.358,6.425
0,2.166,5.33,5.463
0,1.636,3.263,4.942
0,2.202,5.514,5.494
0,1.557,5.343,2.308
0,1.996,4.821,5.189
0,1.589,3.131,4.906
0,1.426,2.481,4.754
0,1.081,1.12,4.403
0,1.107,4.358,1.072
0,2.164,5.331,5.504
0,1.498,2.74,4.847
0,2.177,5.401,5.494
0,2.1,5.192,5.323
0,2.139,5.284,5.425
0,2.086,5.187,5.251
0,2.168,5.408,5.442
0,2.162,5.401,5.417
0,2.4,6.301,5.649
0,2.626,8.911,3.859
0,2.185,8.507,2.069
0,2.129,8.295,2.019
0,1.114,4.387,1.079
0,1.116,4.395,1.081
0,1.117,4.397,1.082
0,1.081,4.259,1.048
0,1.074,4.231,1.041
0,1.118,4.401,1.083
0,1.106,4.355,1.072
0,1.039,4.097,1.009
0,1.046,4.121,1.015
0,1.001,3.948,0.973
0,1.003,3.955,0.975
0,1.007,3.969,0.978
0,0.982,3.874,0.955
0,0.99,3.906,0.963
0,1.045,4.118,1.014
0,2.262,8.776,2.126
0,0.775,3.063,0.757
0,2.208,8.574,2.079
0,2.211,8.585,2.081
0,2.214,8.596,2.084
0,2.211,8.585,2.081
0,2.163,8.402,2.038
0,2.179,8.463,2.053
0,1.513,5.934,1.454
0,2.245,8.713,2.111
0,2.28,8.845,2.142
0,2.287,8.87,2.148
0,2.289,8.877,2.15
0,2.282,8.852,2.144
0,2.282,8.852,2.144
0,2.281,8.848,2.143
0,0.551,2.187,0.543
0,2.288,8.876,2.15
0,2.291,8.888,2.152
0,2.29,8.884,2.152
0,2.292,8.891,2.153
0,2.281,8.848,2.143
0,2.284,8.859,2.146
0,2.285,8.863,2.147
0,2.285,8.862,2.146
0,2.285,8.862,2.146
0,2.269,8.803,2.132
0,0.972,3.839,0.947
0,2.285,8.862,2.146
0,2.286,8.866,2.147
0,2.285,8.863,2.147
0,2.283,8.855,2.145
0,1.233,4.851,1.192
0,2.258,8.763,2.123
0,1.396,5.482,1.345
0,0.155,0.617,0.154
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,2.164,0.536,0.546
0,2.178,0.54,0.549
0,2.178,0.54,0.549
0,2.178,0.54,0.549
0,2.175,0.539,0.548
0,2.178,0.54,0.549
0,6.608,1.615,1.689
0,6.771,1.646,1.739
0,6.741,1.639,1.731
0,4.509,1.106,1.149
0,4.521,1.109,1.151
0,7.347,2.028,3.059
0,3.607,1.096,1.929
0,12.209,5.173,4.592
0,7.753,9.612,4.43
0,11.366,10.362,7.35
0,18.336,13.873,8.645
