Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.LINE_0, 1.861443E-009, -0.09834891, 1.861443E-009, -0.09834891, 0, 0
Line.LINE_1, 3.362987E-011, -0.001292545, 3.362987E-011, -0.001292545, 0, 0
Line.LINE_2, 3.362987E-011, -0.001292545, 3.362987E-011, -0.001292545, 0, 0
Line.LINE_3, 1.08436E-010, -0.002291658, 1.08436E-010, -0.002291658, 0, 0
Line.LINE_4, -1.358401E-011, -0.0006572914, -1.358401E-011, -0.0006572914, 0, 0
Line.LINE_5, -1.358401E-011, -0.0006572914, -1.358401E-011, -0.0006572914, 0, 0
Line.LINE_6, -5.09774E-011, -0.0005619123, -5.09774E-011, -0.0005619123, 0, 0
Line.LINE_7, -5.210956E-011, -0.0005619122, -5.210956E-011, -0.0005619122, 0, 0
Line.LINE_8, -5.09774E-011, -0.0005619123, -5.09774E-011, -0.0005619123, 0, 0
Line.LINE_9, -5.210956E-011, -0.0005619122, -5.210956E-011, -0.0005619122, 0, 0
Line.LINE_10, -1.211844E-010, -0.0003360617, -1.211844E-010, -0.0003360617, 0, 0
Line.LINE_11, -1.330271E-010, -0.0003360616, -1.330271E-010, -0.0003360616, 0, 0
Line.LINE_12, -4.144006E-010, -0.0003360618, -4.144006E-010, -0.0003360618, 0, 0
Line.LINE_13, 2.856194E-010, -3.950177E-005, 2.856194E-010, -3.950177E-005, 0, 0
Line.LINE_14, 2.856194E-010, -3.950177E-005, 2.856194E-010, -3.950177E-005, 0, 0
Line.LINE_15, -7.444213E-011, -3.950189E-005, -7.444213E-011, -3.950189E-005, 0, 0
Line.LINE_16, -7.444213E-011, -3.950189E-005, -7.444213E-011, -3.950189E-005, 0, 0
Line.LINE_17, -5.804983E-010, -3.950174E-005, -5.804983E-010, -3.950174E-005, 0, 0
Line.LINE_18, -5.804983E-010, -3.950174E-005, -5.804983E-010, -3.950174E-005, 0, 0
Line.LINE_19, -2.361978E-010, -3.950201E-005, -2.361978E-010, -3.950201E-005, 0, 0
Line.LINE_20, -2.361978E-010, -3.950201E-005, -2.361978E-010, -3.950201E-005, 0, 0
Line.LINE_21, -1.211844E-010, -0.0003360617, -1.211844E-010, -0.0003360617, 0, 0
Line.LINE_22, -1.330271E-010, -0.0003360616, -1.330271E-010, -0.0003360616, 0, 0
Line.LINE_23, -4.144006E-010, -0.0003360618, -4.144006E-010, -0.0003360618, 0, 0
Line.LINE_24, 2.856194E-010, -3.950177E-005, 2.856194E-010, -3.950177E-005, 0, 0
Line.LINE_25, 2.856194E-010, -3.950177E-005, 2.856194E-010, -3.950177E-005, 0, 0
Line.LINE_26, -7.444213E-011, -3.950189E-005, -7.444213E-011, -3.950189E-005, 0, 0
Line.LINE_27, -7.444213E-011, -3.950189E-005, -7.444213E-011, -3.950189E-005, 0, 0
Line.LINE_28, -5.804983E-010, -3.950174E-005, -5.804983E-010, -3.950174E-005, 0, 0
Line.LINE_29, -5.804983E-010, -3.950174E-005, -5.804983E-010, -3.950174E-005, 0, 0
Line.LINE_30, -2.361978E-010, -3.950201E-005, -2.361978E-010, -3.950201E-005, 0, 0
Line.LINE_31, -2.361978E-010, -3.950201E-005, -2.361978E-010, -3.950201E-005, 0, 0
Line.LINE_32, 4.016571E-012, -0.0002921944, 4.016571E-012, -0.0002921944, 0, 0
Line.LINE_33, 2.682154E-010, -0.0002921942, 2.682154E-010, -0.0002921942, 0, 0
Line.LINE_34, -1.347005E-011, -0.0002921944, -1.347005E-011, -0.0002921944, 0, 0
Line.LINE_35, 1.617945E-010, -0.0002921944, 1.617945E-010, -0.0002921944, 0, 0
Line.LINE_36, -1.017857E-010, -3.950169E-005, -1.017857E-010, -3.950169E-005, 0, 0
Line.LINE_37, -1.017857E-010, -3.950169E-005, -1.017857E-010, -3.950169E-005, 0, 0
Line.LINE_38, -4.525865E-010, -3.950148E-005, -4.525865E-010, -3.950148E-005, 0, 0
Line.LINE_39, -4.525865E-010, -3.950148E-005, -4.525865E-010, -3.950148E-005, 0, 0
Line.LINE_40, 3.348014E-011, -3.950189E-005, 3.348014E-011, -3.950189E-005, 0, 0
Line.LINE_41, 3.348014E-011, -3.950189E-005, 3.348014E-011, -3.950189E-005, 0, 0
Line.LINE_42, -8.1266E-010, -3.950154E-005, -8.1266E-010, -3.950154E-005, 0, 0
Line.LINE_43, -8.1266E-010, -3.950154E-005, -8.1266E-010, -3.950154E-005, 0, 0
Line.LINE_44, -2.50082E-010, -3.950207E-005, -2.50082E-010, -3.950207E-005, 0, 0
Line.LINE_45, -2.50082E-010, -3.950207E-005, -2.50082E-010, -3.950207E-005, 0, 0
Line.LINE_46, -2.457909E-010, -0.0002921944, -2.457909E-010, -0.0002921944, 0, 0
Line.LINE_47, -4.014048E-010, -0.0002921945, -4.014048E-010, -0.0002921945, 0, 0
Line.LINE_48, -3.501564E-010, -0.0002921946, -3.501564E-010, -0.0002921946, 0, 0
Line.LINE_49, 1.954248E-010, -0.0002921944, 1.954248E-010, -0.0002921944, 0, 0
Line.LINE_50, 6.501424E-011, -3.9502E-005, 6.501424E-011, -3.9502E-005, 0, 0
Line.LINE_51, 6.501424E-011, -3.9502E-005, 6.501424E-011, -3.9502E-005, 0, 0
Line.LINE_52, -3.895735E-010, -3.950153E-005, -3.895735E-010, -3.950153E-005, 0, 0
Line.LINE_53, -3.895735E-010, -3.950153E-005, -3.895735E-010, -3.950153E-005, 0, 0
Line.LINE_54, 6.49878E-011, -3.950215E-005, 6.49878E-011, -3.950215E-005, 0, 0
Line.LINE_55, 6.49878E-011, -3.950215E-005, 6.49878E-011, -3.950215E-005, 0, 0
Line.LINE_56, -4.526028E-010, -3.950148E-005, -4.526028E-010, -3.950148E-005, 0, 0
Line.LINE_57, -4.526028E-010, -3.950148E-005, -4.526028E-010, -3.950148E-005, 0, 0
Line.LINE_58, -1.08303E-010, -3.950198E-005, -1.08303E-010, -3.950198E-005, 0, 0
Line.LINE_59, 4.016571E-012, -0.0002921944, 4.016571E-012, -0.0002921944, 0, 0
Line.LINE_60, 2.682154E-010, -0.0002921942, 2.682154E-010, -0.0002921942, 0, 0
Line.LINE_61, -1.347005E-011, -0.0002921944, -1.347005E-011, -0.0002921944, 0, 0
Line.LINE_62, 1.617945E-010, -0.0002921944, 1.617945E-010, -0.0002921944, 0, 0
Line.LINE_63, -1.017857E-010, -3.950169E-005, -1.017857E-010, -3.950169E-005, 0, 0
Line.LINE_64, -1.017857E-010, -3.950169E-005, -1.017857E-010, -3.950169E-005, 0, 0
Line.LINE_65, -4.525865E-010, -3.950148E-005, -4.525865E-010, -3.950148E-005, 0, 0
Line.LINE_66, -4.525865E-010, -3.950148E-005, -4.525865E-010, -3.950148E-005, 0, 0
Line.LINE_67, 3.348014E-011, -3.950189E-005, 3.348014E-011, -3.950189E-005, 0, 0
