,P1 (kW),P2 (kW),P3 (kW)
0,0.0,0.0,0.0
0,4.366,1.074,1.109
0,4.371,1.075,1.11
0,4.375,1.076,1.111
0,4.371,1.075,1.11
0,4.371,1.075,1.11
0,4.357,1.072,1.107
0,4.385,1.079,1.114
0,3.862,0.952,0.979
0,4.371,1.075,1.11
0,4.371,1.075,1.11
0,4.366,1.074,1.109
0,4.378,1.077,1.112
0,4.371,1.075,1.11
0,4.371,1.075,1.11
0,1.084,0.27,0.272
0,1.193,0.297,0.299
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.086,0.27,0.273
0,1.144,4.482,1.097
0,1.14,4.468,1.094
0,1.139,4.464,1.093
0,0.544,1.36,1.358
0,1.409,4.724,2.18
0,1.057,3.361,1.859
0,1.399,4.704,2.151
0,1.364,4.551,2.138
0,1.399,4.691,2.168
0,1.401,4.695,2.173
0,1.214,4.13,1.831
0,0.487,1.932,0.479
0,0.371,1.475,0.366
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,3.876,0.957,0.981
0,4.191,1.033,1.062
0,4.435,2.154,1.337
0,4.412,1.087,1.119
0,3.052,0.755,0.771
0,3.407,0.842,0.862
0,3.09,0.764,0.781
0,2.236,0.554,0.564
0,3.336,4.901,1.633
0,3.285,4.69,1.583
0,3.319,4.824,1.616
0,3.312,4.816,1.612
0,3.317,4.817,1.614
0,2.394,4.615,1.384
0,3.331,4.874,1.627
0,3.285,4.832,1.61
0,3.296,4.839,1.613
0,3.317,4.831,1.616
0,3.339,4.849,1.624
0,3.331,4.87,1.627
0,2.239,0.555,0.565
0,2.228,0.552,0.562
0,2.225,0.551,0.561
0,2.236,0.554,0.564
0,2.239,0.555,0.565
0,2.239,0.555,0.565
0,2.232,0.553,0.563
0,1.393,0.346,0.35
0,1.268,0.315,0.319
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
