,P1 (kW),P2 (kW),P3 (kW)
0,0.0,0.0,0.0
0,3.304,0.271,1.381
0,3.306,0.27,1.383
0,3.307,0.27,1.3840000000000001
0,3.306,0.27,1.383
0,3.306,0.27,1.383
0,3.3,0.271,1.379
0,3.312,0.26899999999999996,1.3869999999999998
0,3.07,0.299,1.236
0,3.306,0.27,1.383
0,3.306,0.27,1.383
0,3.304,0.271,1.381
0,3.3089999999999997,0.27,1.385
0,3.306,0.27,1.383
0,3.306,0.27,1.383
0,1.1159999999999999,0.223,0.335
0,1.217,0.23800000000000002,0.371
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.132,0.35200000000000004,0.968
0,1.3519999999999999,2.9989999999999997,0.14800000000000002
0,1.349,2.995,0.149
0,1.348,2.9930000000000003,0.149
0,0.479,1.4409999999999998,1.1520000000000001
0,1.5,3.3169999999999997,1.053
0,1.131,2.786,1.163
0,1.495,3.305,1.0390000000000001
0,1.4569999999999999,3.261,1.069
0,1.4909999999999999,3.306,1.054
0,1.492,3.3080000000000003,1.056
0,1.354,3.0669999999999997,0.9540000000000001
0,0.621,1.7619999999999998,0.26
0,0.47,1.419,0.24
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,2.6919999999999997,1.844,0.883
0,2.798,2.02,0.8809999999999999
0,2.955,2.657,0.732
0,2.865,2.135,0.873
0,1.818,1.841,0.536
0,1.944,2.021,0.532
0,1.61,1.9580000000000002,0.426
0,0.7140000000000001,1.7719999999999998,0.171
0,4.367,2.19,1.574
0,4.244,2.1959999999999997,1.507
0,4.323,2.193,1.5490000000000002
0,4.317,2.191,1.547
0,4.319,2.194,1.547
0,4.042,1.633,1.568
0,4.352,2.1919999999999997,1.565
0,4.322,2.174,1.557
0,4.327,2.1790000000000003,1.557
0,4.3260000000000005,2.191,1.5519999999999998
0,4.34,2.2,1.555
0,4.35,2.1919999999999997,1.564
0,0.715,1.7730000000000001,0.171
0,0.7120000000000001,1.768,0.172
0,0.711,1.766,0.172
0,0.7140000000000001,1.7719999999999998,0.171
0,0.715,1.7730000000000001,0.171
0,0.715,1.7730000000000001,0.171
0,0.713,1.77,0.172
0,0.45,1.272,0.187
0,0.408,1.182,0.183
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,4.008,0.624,1.38
0,3.987,0.623,1.371
0,3.9819999999999998,0.623,1.368
0,3.977,0.622,1.3659999999999999
0,1.112,0.25,0.306
0,3.9960000000000004,0.623,1.374
0,3.984,0.623,1.369
0,3.9819999999999998,0.623,1.368
0,3.8710000000000004,0.616,1.319
0,4.071000000000001,0.627,1.4080000000000001
0,4.081,0.628,1.413
0,4.071000000000001,0.627,1.4080000000000001
0,5.25,2.855,1.3519999999999999
0,1.4509999999999998,1.265,0.462
0,6.457000000000001,4.183,0.815
0,8.597999999999999,5.513999999999999,4.789
0,10.072000000000001,5.876,3.4419999999999997
0,10.179,5.78,3.659
0,13.355,5.7989999999999995,5.312
0,13.475,6.457999999999999,6.301
0,13.415999999999999,6.22,5.642
0,13.341,5.897,5.1370000000000005
0,12.216,5.735,4.63
0,9.404,5.707999999999999,3.8080000000000003
0,13.808,6.0120000000000005,6.091
0,12.405,5.246,5.862
0,11.130999999999998,5.327000000000001,5.343
0,11.302999999999999,5.292999999999999,5.3660000000000005
0,14.705,7.707000000000001,5.987
0,12.242,7.269,5.5120000000000005
0,9.402999999999999,7.446000000000001,3.767
0,11.782,7.1339999999999995,5.166
0,11.639000000000001,7.17,5.402
0,8.599,5.831,3.3280000000000003
0,9.426,7.372999999999999,4.065
0,9.173,7.34,3.955
0,6.5329999999999995,5.643,3.259
0,6.153,7.433,2.573
0,6.33,6.002999999999999,3.26
0,7.087999999999999,7.965,3.592
0,6.685,7.941,3.429
0,6.736000000000001,8.011000000000001,3.425
0,6.848,8.012,3.322
0,6.917999999999999,7.975,3.2460000000000004
0,6.726,8.006,3.426
0,4.739,7.816,2.267
0,7.005,7.807,3.324
0,5.246,7.122999999999999,1.925
0,7.983,8.585,4.184
0,7.672000000000001,8.455,4.332
0,7.98,8.542,4.234
0,8.051,8.392000000000001,3.9139999999999997
0,7.348,8.077,4.306
0,4.715,8.046,2.0669999999999997
0,4.707,8.301,2.824
0,4.516,8.216000000000001,2.9130000000000003
0,4.447,8.162,2.94
0,4.926,8.259,2.602
0,4.544,8.237,2.91
0,3.168,6.778,3.463
0,4.605,7.5760000000000005,1.652
0,4.486000000000001,7.765,1.7719999999999998
0,3.0410000000000004,5.68,1.758
0,9.156,7.064,3.699
0,10.696,6.985,4.277
0,9.648,6.867999999999999,4.199
0,8.544,5.774,4.659
0,4.558,3.98,2.983
0,8.969,6.314,4.48
0,8.623,5.684,4.39
0,6.987,3.49,2.908
0,4.934,3.7,1.3219999999999998
0,4.19,3.2089999999999996,1.265
0,3.3369999999999997,3.344,0.889
0,1.994,0.373,0.747
0,1.999,0.371,0.7490000000000001
0,1.984,0.373,0.741
0,4.007,0.17800000000000002,1.9480000000000002
0,3.9939999999999998,0.182,1.9369999999999998
0,3.977,0.188,1.922
0,3.9160000000000004,0.08900000000000001,1.869
0,3.947,0.079,1.895
0,3.957,0.076,1.902
0,3.9619999999999997,0.07400000000000001,1.9069999999999998
0,3.966,0.073,1.91
0,3.966,0.07200000000000001,1.91
0,2.06,0.3,0.73
0,2.052,0.3,0.726
0,3.911,0.099,1.857
0,3.799,0.147,1.7519999999999998
0,1.96,0.263,0.7170000000000001
0,1.8980000000000001,0.263,0.6859999999999999
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.654,1.831,0.262
0,1.0190000000000001,2.454,0.209
0,1.275,2.51,0.27699999999999997
0,6.416,3.4210000000000003,2.097
0,6.994,3.932,1.7830000000000001
0,7.537000000000001,3.885,2.15
0,11.589,4.787,6.824
0,11.418,7.292999999999999,5.497999999999999
0,15.083,7.38,7.385
0,15.446,7.481,7.699
0,13.511,7.435,6.745
0,10.25,7.165,4.604
0,12.884,6.909,7.032
0,10.565,6.922000000000001,5.956
0,10.116,7.125,5.406000000000001
0,9.831,7.081,5.162999999999999
0,9.842,7.074,5.15
0,9.726,7.0920000000000005,5.093
0,9.602,7.141,5.2170000000000005
0,10.374,7.332999999999999,5.7829999999999995
0,9.782,7.382999999999999,5.357
0,9.311,7.327999999999999,5.192
0,8.991,7.35,5.103
0,8.498,7.495,4.598
0,7.5329999999999995,7.627999999999999,3.978
0,5.796,7.26,3.4130000000000003
0,5.407,6.696000000000001,3.4619999999999997
0,5.191,6.107,3.3710000000000004
0,5.107,5.982,3.286
0,6.182,5.266,4.375
0,7.557,4.033,5.62
0,7.148,3.2460000000000004,5.603
0,7.11,3.3080000000000003,5.604
0,9.132,4.433,5.351
0,9.504,4.423,5.617999999999999
0,8.373,2.392,6.2010000000000005
0,8.892999999999999,3.923,6.138
0,9.046,4.11,6.108
0,11.684000000000001,4.218,6.751
0,13.247,4.824,7.542999999999999
0,11.511,4.716,6.546
0,7.218999999999999,3.072,3.833
0,7.077999999999999,2.875,3.77
0,6.992999999999999,2.852,3.6239999999999997
0,6.087000000000001,1.0,3.46
0,6.007999999999999,0.8440000000000001,3.324
0,7.225,1.729,2.8930000000000002
0,6.439,1.535,2.5380000000000003
0,4.246,1.137,1.6909999999999998
0,6.165,1.537,2.23
0,6.082000000000001,1.392,2.073
0,7.827999999999999,1.5,2.603
0,7.877999999999999,1.504,2.6239999999999997
0,7.73,1.494,2.56
0,7.742000000000001,1.4869999999999999,2.573
0,7.684,1.4780000000000002,2.553
0,6.3020000000000005,1.182,2.11
0,7.382999999999999,1.3130000000000002,2.457
0,8.162,1.3530000000000002,2.806
0,7.346,1.304,2.447
0,8.177,1.354,2.813
0,8.3,1.365,2.863
0,8.251,1.2930000000000001,2.832
0,8.158999999999999,1.284,2.7960000000000003
0,8.158999999999999,1.284,2.7960000000000003
0,8.263,1.294,2.838
0,8.254,1.2930000000000001,2.8339999999999996
0,8.283,1.295,2.847
0,8.264,1.294,2.838
0,8.269,1.294,2.84
0,8.275,1.295,2.843
0,10.324000000000002,1.0290000000000001,4.133
0,10.253,1.026,4.101
0,7.235,0.868,2.7489999999999997
0,7.84,0.841,3.0789999999999997
